I,J,p,r,obj_relaxed_avg,obj_binary_avg,obj_ex_avg,time_avg_sec
20,20,2,2,0.5003523591604694,0.5049937120626806,0.5049937120626806,89.93223237991333
20,20,3,2,0.570186351520612,0.578033223095096,0.5877453590462853,90.86957709789276
20,20,2,3,0.42562780438267306,0.4285131667409942,0.4285131667409942,93.56147758960724
40,40,2,2,0.5002640592088856,0.5012870908530858,0.5012870908530858,92.61270637512207
40,40,3,2,0.570079988887152,0.5724531227274354,0.5724531227274353,94.47940084934234
40,40,2,3,0.42833139155472344,0.4292510918417907,0.4292510918417907,87.69489498138428
60,60,2,2,0.5015874768382791,0.5021600726776041,0.5021600726776041,92.50103471279144
60,60,3,2,0.571847934570539,0.5729747149699339,0.5729747149699339,92.78148202896118
60,60,2,3,0.425649047924339,0.4262824799214819,0.4262824799214819,93.11214411258698
80,80,2,2,0.5007284845118851,0.5012608535225406,0.5012608535225406,93.18902287483215
80,80,3,2,0.5723696587237421,0.5730820286011995,0.5730820286011995,95.80292019844055
80,80,2,3,0.42849220764042384,0.4289523756603396,0.4289523756603395,94.32161335945129
100,100,2,2,0.5006860390760296,0.5010725329445636,0.5010725329445636,93.0424335718155
100,100,3,2,0.5731763979690777,0.5735793363334352,0.5735793363334352,91.32353711128235
100,100,2,3,0.42733497192894765,0.42769120065603294,0.42769120065603283,92.00745282173156
200,200,2,2,0.5010654072003243,0.5012345231399468,0.5012345231399468,361.5249430894852
200,200,3,2,0.5747799642276814,0.575239468162831,0.575239468162831,384.1723152160645
200,200,2,3,0.42629638569531536,0.42646419593888185,0.42646419593888185,371.77917754650116
300,300,2,2,0.4997939383694545,0.4998157908446519,0.4998157908446519,438.9390040874481
300,300,3,2,0.5724505433861516,0.572765225935303,0.5727652259353031,438.058672952652
300,300,2,3,0.42694784081457937,0.42700874367852687,0.42700874367852687,438.7678200006485
