I,J,p,r,obj_relaxed_avg,obj_binary_avg,obj_ex_avg,time_avg_sec
20,20,2,2,0.6108747047367677,0.5573774812135679,0.5573774812135679,17.292346024513243
20,20,3,2,0.7283209086575906,0.6692874395170979,0.6692874395170979,16.156158375740052
20,20,2,3,0.53193379328941,0.4741720699403216,0.4741720699403215,17.641153383255006
40,40,2,2,0.5593636174749854,0.5387025319704745,0.5387025319704744,19.614449739456177
40,40,3,2,0.668422283867068,0.6358607053369241,0.635860705336924,22.121676921844482
40,40,2,3,0.4676226603213392,0.4462434347108243,0.4462434347108243,20.65314564704895
60,60,2,2,0.551776924048544,0.5251026647375998,0.5251026647375998,20.076604199409484
60,60,3,2,0.6473344757116909,0.6427017668077732,0.6427017668077732,19.928734612464904
60,60,2,3,0.4445374711961523,0.43862132753311833,0.43862132753311844,19.488055253028868
80,80,2,2,0.5343251161421534,0.5334609967012482,0.5334609967012484,21.139850115776063
80,80,3,2,0.6356054295014332,0.6398698711050343,0.6398698711050343,20.917073726654053
80,80,2,3,0.43473672718154716,0.4383385678000248,0.43833856780002484,20.456395196914674
100,100,2,2,0.5302145243836791,0.5362061655776487,0.5362061655776486,22.372807574272155
100,100,3,2,0.6285562130468025,0.64422992573836,0.64422992573836,22.616189384460448
100,100,2,3,0.42963698850688437,0.44414325849604397,0.4441432584960439,20.897941017150877
