I,J,p,r,obj_relaxed_avg,obj_binary_avg,obj_ex_avg,time_avg_sec
20,20,2,2,0.5759046570418758,0.5400688663787966,0.5400688663787966,67.37121136188507
20,20,3,2,0.6937990553315919,0.6346522783795342,0.634652278379534,92.16346135139466
20,20,2,3,0.48457737214366264,0.43412929338926975,0.43412929338926975,92.85946865081787
40,40,2,2,0.5402804169805802,0.5385302699055776,0.5385302699055776,95.40754985809326
40,40,3,2,0.6490620648908573,0.634974820780909,0.634974820780909,94.4978509902954
40,40,2,3,0.44450056596308485,0.4373826864204859,0.4373826864204859,94.43526349067687
60,60,2,2,0.5292662400223456,0.5367822169451337,0.5367822169451337,99.62939412593842
60,60,3,2,0.6350223515517858,0.6385513550896851,0.6385513550896851,97.55940954685211
60,60,2,3,0.43155443375821456,0.4363893247120762,0.4363893247120762,98.38440973758698
80,80,2,2,0.5238036978863979,0.5325862681598861,0.5325862681598861,101.75521130561829
80,80,3,2,0.6275370386586061,0.6345233509733346,0.6345233509733346,102.27686975002288
80,80,2,3,0.42588125995595394,0.4329626974320081,0.4329626974320081,103.39576139450074
100,100,2,2,0.5208040213622209,0.5297817033626121,0.5297817033626121,109.1987919330597
100,100,3,2,0.6236874492685622,0.6320396106271223,0.6320396106271223,106.31878545284272
100,100,2,3,0.421941185491198,0.4298608713177615,0.4298608713177615,107.99275829792023
