I,J,p,r,obj_relaxed_avg,obj_binary_avg,obj_ex_avg,time_avg_sec
20,20,2,2,0.5038518764128976,0.5466929365535168,0.5466929365535168,89.54477910995483
20,20,3,2,0.5859094746452393,0.6473926763616401,0.6473926763616402,88.24174726009369
20,20,2,3,0.41662253468361604,0.46065935639734884,0.46065935639734884,86.87332503795623
40,40,2,2,0.5028519634973088,0.5392162525499717,0.5392162525499716,87.26018073558808
40,40,3,2,0.5776211847460131,0.6177958294450832,0.6292236969858476,90.73382365703583
40,40,2,3,0.41745346387834575,0.44319282040683683,0.44319282040683683,87.62892582416535
60,60,2,2,0.49707065373706694,0.5174815279626304,0.5174815279626304,88.26096837520599
60,60,3,2,0.5765118474187062,0.5922966107217761,0.5922966107217761,87.20834567546845
60,60,2,3,0.41958483631715754,0.4380379278809965,0.4380379278809965,88.39917602539063
80,80,2,2,0.4977447612060294,0.5155764900221363,0.5155764900221362,88.72517993450165
80,80,3,2,0.5771032262183428,0.5902830040438869,0.5902830040438869,89.77298045158386
80,80,2,3,0.4251642780239543,0.43348865457557106,0.43348865457557106,88.31427495479583
100,100,2,2,0.49818343008816646,0.5096579624239093,0.5096579624239093,90.36265051364899
100,100,3,2,0.5718281603233756,0.5800972941587881,0.5800972941587881,90.70412337779999
100,100,2,3,0.4251814233876292,0.43108328874067536,0.43108328874067536,90.12006742954254
