I,J,p,r,obj(MIP),obj(Mutation),time(MIP),time(Mutation)
20,20,2,2,0.525,0.579,5,120
20,20,3,2,0.629,0.716,16,131
20,20,2,3,0.447,0.511,4,129
40,40,2,2,0.537,0.571,20,130
40,40,3,2,0.627,0.682,179,130
40,40,2,3,0.442,0.453,17,132
60,60,2,2,0.537,0.565,66,141
60,60,3,2,0.62,0.671,944,138
60,60,2,3,0.436,0.464,103,144
80,80,2,2,0.528,0.554,319,149
80,80,3,2,0.617,0.674,1254,145
80,80,2,3,0.441,0.485,194,147
100,100,2,2,0.527,0.536,354,159
100,100,3,2,0.616,0.692,2279,157
100,100,2,3,0.428,0.459,887,154
