instance_id,run,I,J,p,r,beta,theta,time_sec,status,iterations,cuts,obj
1,0,20,20,2,2,0.1,0.56870365,2.111506462097168,1,11,20,0.56870365
1,1,20,20,2,2,0.1,0.53578406,1.5528311729431152,1,10,18,0.53578406
1,2,20,20,2,2,0.1,0.58036664,1.911252498626709,1,11,20,0.58036664
1,3,20,20,2,2,0.1,0.59037536,1.7109997272491455,1,10,18,0.59037536
1,4,20,20,2,2,0.1,0.52885909,2.771183490753174,1,14,26,0.52885909
1,5,20,20,2,2,0.1,0.56607083,1.7627310752868652,1,10,18,0.56607083
1,6,20,20,2,2,0.1,0.59914636,1.671764612197876,1,10,18,0.59914636
1,7,20,20,2,2,0.1,0.5149735,3.3859195709228516,1,17,32,0.5149735
1,8,20,20,2,2,0.1,0.52246812,2.012998104095459,1,13,24,0.52246812
1,9,20,20,2,2,0.1,0.51586266,1.150876522064209,1,9,16,0.51586266
2,0,20,20,3,2,0.1,0.67441207,1.512230634689331,1,10,18,0.67441207
2,1,20,20,3,2,0.1,0.6448626,1.3092296123504639,1,11,20,0.6448626
2,2,20,20,3,2,0.1,0.65200324,3.9900596141815186,1,16,30,0.65200324
2,3,20,20,3,2,0.1,0.65812493,2.041867733001709,1,12,22,0.65812493
2,4,20,20,3,2,0.1,0.64875313,4.176876783370972,1,17,32,0.64875313
2,5,20,20,3,2,0.1,0.65633064,2.303851842880249,1,14,26,0.65633064
2,6,20,20,3,2,0.1,0.63337566,1.8009498119354248,1,12,22,0.63337566
2,7,20,20,3,2,0.1,0.65525959,1.3918700218200684,1,11,20,0.65525959
2,8,20,20,3,2,0.1,0.66096899,2.11159610748291,1,12,22,0.66096899
2,9,20,20,3,2,0.1,0.64871773,2.6100080013275146,1,15,28,0.64871773
3,0,20,20,2,3,0.1,0.49749981,4.925525665283203,1,21,40,0.49749981
3,1,20,20,2,3,0.1,0.43917851,1.6452791690826416,1,13,24,0.43917851
3,2,20,20,2,3,0.1,0.4581692,1.5274910926818848,1,12,22,0.4581692
3,3,20,20,2,3,0.1,0.46695945,1.4659969806671143,1,11,20,0.46695945
3,4,20,20,2,3,0.1,0.47250888,1.8850691318511963,1,12,22,0.47250888
3,5,20,20,2,3,0.1,0.4821172,2.3164000511169434,1,13,24,0.4821172
3,6,20,20,2,3,0.1,0.48043986,0.8391458988189697,1,8,14,0.48043986
3,7,20,20,2,3,0.1,0.49381464,1.6140029430389404,1,11,20,0.49381464
3,8,20,20,2,3,0.1,0.44229904,3.255734920501709,1,17,32,0.44229904
