instance_id,run,I,J,p,r,beta,theta,time_sec,status,iterations,cuts,obj
1,0,20,20,2,2,0.1,0.55852617,0.28002238273620605,1,7,12,0.55852617
1,1,20,20,2,2,0.1,0.59513436,0.47664618492126465,1,9,16,0.59513436
1,2,20,20,2,2,0.1,0.58581263,0.28405094146728516,1,7,12,0.58581263
1,3,20,20,2,2,0.1,0.57571908,1.0181655883789062,1,13,24,0.57571908
1,4,20,20,2,2,0.1,0.60365685,0.4374735355377197,1,8,14,0.60365685
1,5,20,20,2,2,0.1,0.58135,0.48328661918640137,1,8,14,0.58135
1,6,20,20,2,2,0.1,0.55995041,1.1426851749420166,1,13,24,0.55995041
1,7,20,20,2,2,0.1,0.54498389,1.0352873802185059,1,13,24,0.54498389
1,8,20,20,2,2,0.1,0.60356463,0.5444545745849609,1,9,16,0.60356463
1,9,20,20,2,2,0.1,0.51920546,1.303889274597168,1,16,30,0.51920546
2,0,20,20,3,2,0.1,0.63987507,1.7270004749298096,1,18,34,0.63987507
2,1,20,20,3,2,0.1,0.634806,0.8788127899169922,1,14,26,0.634806
2,2,20,20,3,2,0.1,0.63342594,1.3112947940826416,1,15,28,0.63342594
2,3,20,20,3,2,0.1,0.64913055,1.2662482261657715,1,15,28,0.64913055
2,4,20,20,3,2,0.1,0.64160306,0.668647050857544,1,11,20,0.64160306
2,5,20,20,3,2,0.1,0.66560258,1.086329698562622,1,13,24,0.66560258
2,6,20,20,3,2,0.1,0.63065536,0.6709833145141602,1,12,22,0.63065536
2,7,20,20,3,2,0.1,0.64538434,3.222688674926758,1,23,44,0.64538434
2,8,20,20,3,2,0.1,0.66114198,0.8334488868713379,1,12,22,0.66114198
2,9,20,20,3,2,0.1,0.7043349,0.6369850635528564,1,11,20,0.7043349
3,0,20,20,2,3,0.1,0.44072687,0.8802461624145508,1,14,26,0.44072687
3,1,20,20,2,3,0.1,0.43776833,0.6756069660186768,1,13,24,0.43776833
3,2,20,20,2,3,0.1,0.44913022,0.6440699100494385,1,12,22,0.44913022
3,3,20,20,2,3,0.1,0.50944463,0.47683095932006836,1,10,18,0.50944463
3,4,20,20,2,3,0.1,0.46817044,1.5875699520111084,1,19,36,0.46817044
3,5,20,20,2,3,0.1,0.46726387,2.326836347579956,1,23,44,0.46726387
3,6,20,20,2,3,0.1,0.48635406,0.94838547706604,1,15,28,0.48635406
3,7,20,20,2,3,0.1,0.45536018,0.9789726734161377,1,16,30,0.45536018
3,8,20,20,2,3,0.1,0.45638427,0.7017302513122559,1,13,24,0.45638427
3,9,20,20,2,3,0.1,0.43113885,1.543731451034546,1,21,40,0.43113885
4,0,40,40,2,2,0.1,0.53665028,0.7523295879364014,1,11,20,0.53665028
4,1,40,40,2,2,0.1,0.54649661,2.5343716144561768,1,21,40,0.54649661
4,2,40,40,2,2,0.1,0.54242572,3.381371021270752,1,20,38,0.54242572
4,3,40,40,2,2,0.1,0.59612263,0.6572146415710449,1,10,18,0.59612263
4,4,40,40,2,2,0.1,0.61013052,0.7893781661987305,1,11,20,0.61013052
4,5,40,40,2,2,0.1,0.57687834,0.5358717441558838,1,9,16,0.57687834
4,6,40,40,2,2,0.1,0.55908121,0.6038322448730469,1,9,16,0.55908121
4,7,40,40,2,2,0.1,0.55351638,0.30541563034057617,1,7,12,0.55351638
4,8,40,40,2,2,0.1,0.59930802,1.459730863571167,1,14,26,0.59930802
4,9,40,40,2,2,0.1,0.59819895,0.2958817481994629,1,8,14,0.59819895
5,0,40,40,3,2,0.1,0.62114894,2.373594045639038,1,20,38,0.62114894
5,1,40,40,3,2,0.1,0.65875835,1.705812692642212,1,15,28,0.65875835
5,2,40,40,3,2,0.1,0.69608067,1.2368249893188477,1,11,20,0.69608067
5,3,40,40,3,2,0.1,0.68480326,0.6788556575775146,1,10,18,0.68480326
5,4,40,40,3,2,0.1,0.68432109,1.7349820137023926,1,17,32,0.68432109
5,5,40,40,3,2,0.1,0.63917749,2.127608060836792,1,20,38,0.63917749
5,6,40,40,3,2,0.1,0.64804773,2.788747549057007,1,21,40,0.64804773
5,7,40,40,3,2,0.1,0.63154335,1.4574933052062988,1,16,30,0.63154335
5,8,40,40,3,2,0.1,0.62268133,2.6054189205169678,1,24,46,0.62268133
5,9,40,40,3,2,0.1,0.67726835,1.004319667816162,1,11,20,0.67726835
6,0,40,40,2,3,0.1,0.44592726,2.3574440479278564,1,21,40,0.44592726
6,1,40,40,2,3,0.1,0.48267476,5.12666130065918,1,31,60,0.48267476
6,2,40,40,2,3,0.1,0.47114612,2.765772819519043,1,22,42,0.47114612
6,3,40,40,2,3,0.1,0.46270886,0.7744636535644531,1,13,24,0.46270886
6,4,40,40,2,3,0.1,0.49972912,0.3830289840698242,1,8,14,0.49972912
6,5,40,40,2,3,0.1,0.44958457,0.6733086109161377,1,12,22,0.44958457
6,6,40,40,2,3,0.1,0.45051035,0.733412504196167,1,13,24,0.45051035
6,7,40,40,2,3,0.1,0.45709301,1.0218281745910645,1,14,26,0.45709301
6,8,40,40,2,3,0.1,0.49139087,0.27765965461730957,1,8,14,0.49139087
6,9,40,40,2,3,0.1,0.47666422,2.110673189163208,1,21,40,0.47666422
7,0,60,60,2,2,0.1,0.53864557,1.7907609939575195,1,18,34,0.53864557
7,1,60,60,2,2,0.1,0.51243036,1.470668077468872,1,17,32,0.51243036
7,2,60,60,2,2,0.1,0.52500736,2.8271665573120117,1,23,44,0.52500736
7,3,60,60,2,2,0.1,0.51141976,1.6091783046722412,1,18,34,0.51141976
7,4,60,60,2,2,0.1,0.59186059,0.722022294998169,1,11,20,0.59186059
7,5,60,60,2,2,0.1,0.58470921,1.3365685939788818,1,14,26,0.58470921
7,6,60,60,2,2,0.1,0.5697682,1.2299389839172363,1,14,26,0.5697682
7,7,60,60,2,2,0.1,0.56212983,1.6457703113555908,1,16,30,0.56212983
7,8,60,60,2,2,0.1,0.5329882,0.4823479652404785,1,9,16,0.5329882
7,9,60,60,2,2,0.1,0.59607651,0.2656702995300293,1,6,10,0.59607651
8,0,60,60,3,2,0.1,0.64211937,1.026651382446289,1,14,26,0.64211937
8,1,60,60,3,2,0.1,0.63620001,4.0518412590026855,1,26,50,0.63620001
8,2,60,60,3,2,0.1,0.63308445,1.2484970092773438,1,16,30,0.63308445
8,3,60,60,3,2,0.1,0.66533439,1.082087755203247,1,13,24,0.66533439
8,4,60,60,3,2,0.1,0.65360078,0.5165190696716309,1,9,16,0.65360078
8,5,60,60,3,2,0.1,0.64500993,5.2975828647613525,1,30,58,0.64500993
8,6,60,60,3,2,0.1,0.64601785,2.1657445430755615,1,19,36,0.64601785
8,7,60,60,3,2,0.1,0.62791116,3.8744664192199707,1,27,52,0.62791116
8,8,60,60,3,2,0.1,0.62447112,1.9960339069366455,1,19,36,0.62447112
8,9,60,60,3,2,0.1,0.67525494,1.5707104206085205,1,16,30,0.67525494
9,0,60,60,2,3,0.1,0.44331677,0.8630447387695312,1,13,24,0.44331677
9,1,60,60,2,3,0.1,0.5250051,0.7237982749938965,1,12,22,0.5250051
9,2,60,60,2,3,0.1,0.46005292,3.229273557662964,1,25,48,0.46005292
9,3,60,60,2,3,0.1,0.44523139,8.247898578643799,1,38,74,0.44523139
9,4,60,60,2,3,0.1,0.4422505,1.4565610885620117,1,18,34,0.4422505
9,5,60,60,2,3,0.1,0.46967341,0.5308661460876465,1,10,18,0.46967341
9,6,60,60,2,3,0.1,0.52264426,0.8694734573364258,1,12,22,0.52264426
9,7,60,60,2,3,0.1,0.49413416,0.6638309955596924,1,11,20,0.49413416
9,8,60,60,2,3,0.1,0.4608028,0.8290104866027832,1,13,24,0.4608028
9,9,60,60,2,3,0.1,0.41859414,2.7550690174102783,1,24,46,0.41859414
10,0,80,80,2,2,0.1,0.53022798,2.6310007572174072,1,20,38,0.53022798
10,1,80,80,2,2,0.1,0.60358355,1.2396595478057861,1,12,22,0.60358355
10,2,80,80,2,2,0.1,0.54469529,0.42476749420166016,1,10,18,0.54469529
10,3,80,80,2,2,0.1,0.55145585,2.1590349674224854,1,18,34,0.55145585
10,4,80,80,2,2,0.1,0.52885904,2.5262646675109863,1,22,42,0.52885904
10,5,80,80,2,2,0.1,0.55617598,2.0788753032684326,1,17,32,0.55617598
10,6,80,80,2,2,0.1,0.5337558,0.5104508399963379,1,8,14,0.5337558
10,7,80,80,2,2,0.1,0.52270053,1.2744605541229248,1,14,26,0.52270053
10,8,80,80,2,2,0.1,0.56603105,0.8347959518432617,1,10,18,0.56603105
10,9,80,80,2,2,0.1,0.58025967,0.9385530948638916,1,11,20,0.58025967
11,0,80,80,3,2,0.1,0.66608913,2.0910487174987793,1,14,26,0.66608913
11,1,80,80,3,2,0.1,0.66785599,1.2581708431243896,1,12,22,0.66785599
11,2,80,80,3,2,0.1,0.65684631,2.3665237426757812,1,19,36,0.65684631
11,3,80,80,3,2,0.1,0.62983203,4.8397486209869385,1,26,50,0.62983203
11,4,80,80,3,2,0.1,0.62082125,3.800879716873169,1,24,46,0.62082125
11,5,80,80,3,2,0.1,0.6468201,2.260831356048584,1,17,32,0.6468201
11,6,80,80,3,2,0.1,0.66175302,1.4882869720458984,1,14,26,0.66175302
11,7,80,80,3,2,0.1,0.61901676,2.5066022872924805,1,21,40,0.61901676
11,8,80,80,3,2,0.1,0.64621637,2.9298973083496094,1,20,38,0.64621637
11,9,80,80,3,2,0.1,0.63077756,5.037199974060059,1,30,58,0.63077756
12,0,80,80,2,3,0.1,0.47674516,1.1260871887207031,1,13,24,0.47674516
12,1,80,80,2,3,0.1,0.49058305,2.735677719116211,1,21,40,0.49058305
12,2,80,80,2,3,0.1,0.4384603,3.7899563312530518,1,24,46,0.4384603
12,3,80,80,2,3,0.1,0.42640964,1.0602335929870605,1,14,26,0.42640964
12,4,80,80,2,3,0.1,0.4240452,2.355919122695923,1,21,40,0.4240452
12,5,80,80,2,3,0.1,0.43344273,2.8063395023345947,1,22,42,0.43344273
12,6,80,80,2,3,0.1,0.43295599,2.407108783721924,1,21,40,0.43295599
12,7,80,80,2,3,0.1,0.44228356,7.148658275604248,1,35,68,0.44228356
12,8,80,80,2,3,0.1,0.45162715,1.2558281421661377,1,14,26,0.45162715
12,9,80,80,2,3,0.1,0.44871033,3.7224419116973877,1,25,48,0.44871033
13,0,100,100,2,2,0.1,0.534419,3.5646302700042725,1,21,40,0.534419
13,1,100,100,2,2,0.1,0.52006466,0.9494502544403076,1,12,22,0.52006466
13,2,100,100,2,2,0.1,0.55130796,1.6034200191497803,1,14,26,0.55130796
13,3,100,100,2,2,0.1,0.52642153,1.0787978172302246,1,15,28,0.52642153
13,4,100,100,2,2,0.1,0.5322897,2.8731303215026855,1,18,34,0.5322897
13,5,100,100,2,2,0.1,0.53813299,3.0165517330169678,1,17,32,0.53813299
13,6,100,100,2,2,0.1,0.53042685,1.2484304904937744,1,12,22,0.53042685
13,7,100,100,2,2,0.1,0.51143191,13.811774253845215,1,43,84,0.51143191
13,8,100,100,2,2,0.1,0.54934757,1.2617313861846924,1,12,22,0.54934757
13,9,100,100,2,2,0.1,0.54527067,1.8768248558044434,1,15,28,0.54527067
14,0,100,100,3,2,0.1,0.6317705,4.667538642883301,1,22,42,0.6317705
14,1,100,100,3,2,0.1,0.64111279,3.9043753147125244,1,23,44,0.64111279
14,2,100,100,3,2,0.1,0.62152848,11.149497032165527,1,39,76,0.62152848
14,3,100,100,3,2,0.1,0.66040033,1.8711633682250977,1,13,24,0.66040033
14,4,100,100,3,2,0.1,0.66545965,0.7056851387023926,1,11,20,0.66545965
14,5,100,100,3,2,0.1,0.60700292,6.250235319137573,1,28,54,0.60700292
14,6,100,100,3,2,0.1,0.66891397,5.446897983551025,1,15,28,0.66891397
14,7,100,100,3,2,0.1,0.6597633,3.9824154376983643,1,19,36,0.6597633
14,8,100,100,3,2,0.1,0.6726235,0.826265811920166,1,9,16,0.6726235
14,9,100,100,3,2,0.1,0.65190818,27.66322946548462,1,47,92,0.65190818
15,0,100,100,2,3,0.1,0.4558765,3.2732579708099365,1,21,40,0.4558765
15,1,100,100,2,3,0.1,0.43281246,1.0789463520050049,1,14,26,0.43281246
15,2,100,100,2,3,0.1,0.41534647,23.865359783172607,1,58,114,0.41534647
15,3,100,100,2,3,0.1,0.48166036,4.926407337188721,1,24,46,0.48166036
15,4,100,100,2,3,0.1,0.4506331,1.1364507675170898,1,13,24,0.4506331
15,5,100,100,2,3,0.1,0.4530471,3.7671613693237305,1,24,46,0.4530471
15,6,100,100,2,3,0.1,0.45408615,4.711706876754761,1,24,46,0.45408615
15,7,100,100,2,3,0.1,0.44417875,3.9365382194519043,1,23,44,0.44417875
15,8,100,100,2,3,0.1,0.43071788,2.1745336055755615,1,19,36,0.43071788
15,9,100,100,2,3,0.1,0.48894074,3.31894850730896,1,21,40,0.48894074
16,0,200,200,2,2,0.1,0.57608525,3.9730584621429443,1,15,28,0.57608525
16,1,200,200,2,2,0.1,0.53334362,5.406301736831665,1,19,36,0.53334362
16,2,200,200,2,2,0.1,0.555768,2.2412636280059814,1,12,22,0.555768
16,3,200,200,2,2,0.1,0.54701562,3.076890230178833,1,15,28,0.54701562
16,4,200,200,2,2,0.1,0.53033422,4.306845664978027,1,18,34,0.53033422
16,5,200,200,2,2,0.1,0.53686346,3.57291579246521,1,16,30,0.53686346
16,6,200,200,2,2,0.1,0.5380461,8.232953071594238,1,23,44,0.5380461
16,7,200,200,2,2,0.1,0.5351418,1.498213291168213,1,9,16,0.5351418
16,8,200,200,2,2,0.1,0.53411023,7.228160858154297,1,25,48,0.53411023
16,9,200,200,2,2,0.1,0.54646592,11.639320373535156,1,25,48,0.54646592
17,0,300,300,2,2,0.1,0.52056421,19.508302211761475,1,26,50,0.52056421
17,1,300,300,2,2,0.1,0.57562347,4.575213432312012,1,15,28,0.57562347
17,2,300,300,2,2,0.1,0.52390399,8.149335384368896,1,19,36,0.52390399
17,3,300,300,2,2,0.1,0.5255588,36.7530791759491,1,37,72,0.5255588
17,4,300,300,2,2,0.1,0.55807267,3.2803852558135986,1,12,22,0.55807267
17,5,300,300,2,2,0.1,0.5126785,14.410998106002808,1,28,54,0.5126785
17,6,300,300,2,2,0.1,0.53573115,4.939736366271973,1,15,28,0.53573115
17,7,300,300,2,2,0.1,0.52725615,11.889458656311035,1,22,42,0.52725615
17,8,300,300,2,2,0.1,0.51355425,26.318333625793457,1,33,64,0.51355425
17,9,300,300,2,2,0.1,0.56809013,9.510024785995483,1,18,34,0.56809013
18,0,400,400,2,2,0.1,0.53307473,15.576821088790894,1,21,40,0.53307473
18,1,400,400,2,2,0.1,0.52876107,10.268726825714111,1,20,38,0.52876107
18,2,400,400,2,2,0.1,0.5355819,10.709484100341797,1,17,32,0.5355819
18,3,400,400,2,2,0.1,0.53122814,70.07206439971924,1,34,66,0.53122814
18,4,400,400,2,2,0.1,0.52326334,112.78948593139648,1,49,96,0.52326334
18,5,400,400,2,2,0.1,0.50875406,48.257893323898315,1,38,74,0.50875406
18,6,400,400,2,2,0.1,0.52317013,31.565271854400635,1,25,48,0.52317013
18,7,400,400,2,2,0.1,0.5180278,23.37571120262146,1,26,50,0.5180278
18,8,400,400,2,2,0.1,0.52479279,20.645270109176636,1,28,54,0.52479279
18,9,400,400,2,2,0.1,0.53651287,6.483158349990845,1,15,28,0.53651287
19,0,500,500,2,2,0.1,0.52650854,307.63246059417725,1,57,112,0.52650854
19,1,500,500,2,2,0.1,0.52647192,21.711926460266113,1,22,42,0.52647192
19,2,500,500,2,2,0.1,0.54456604,5.771265029907227,1,12,22,0.54456604
19,3,500,500,2,2,0.1,0.52175345,28.159672260284424,1,22,42,0.52175345
19,4,500,500,2,2,0.1,0.51649078,36.75734901428223,1,25,48,0.51649078
19,5,500,500,2,2,0.1,0.52236937,25.52202606201172,1,25,48,0.52236937
19,6,500,500,2,2,0.1,0.52749052,24.897012948989868,1,24,46,0.52749052
19,7,500,500,2,2,0.1,0.53656412,29.29802680015564,1,26,50,0.53656412
19,8,500,500,2,2,0.1,0.5177126,239.96525406837463,1,55,108,0.5177126
19,9,500,500,2,2,0.1,0.51525432,216.04552912712097,1,56,110,0.51525432
