instance_id,run,I,J,p,r,beta,theta,time_sec,status,iterations,cuts,obj
1,0,200,200,2,2,0.1,0.53158217,8.427598714828491,1,25,48,0.53158217
1,1,200,200,2,2,0.1,0.5361214,4.148268699645996,1,18,34,0.5361214
1,2,200,200,2,2,0.1,0.56255316,1.4551217555999756,1,10,18,0.56255316
1,3,200,200,2,2,0.1,0.52453683,5.30418062210083,1,19,36,0.52453683
1,4,200,200,2,2,0.1,0.52612611,7.469303369522095,1,24,46,0.52612611
1,5,200,200,2,2,0.1,0.50643801,13.525254487991333,1,30,58,0.50643801
1,6,200,200,2,2,0.1,0.5466334,11.543533563613892,1,31,60,0.5466334
1,7,200,200,2,2,0.1,0.52169417,4.534882307052612,1,21,40,0.52169417
1,8,200,200,2,2,0.1,0.52676471,2.8386240005493164,1,14,26,0.52676471
1,9,200,200,2,2,0.1,0.53258853,2.195157289505005,1,13,24,0.53258853
2,0,300,300,2,2,0.1,0.53753537,13.825902700424194,1,22,42,0.53753537
2,1,300,300,2,2,0.1,0.51218698,18.141951084136963,1,31,60,0.51218698
2,2,300,300,2,2,0.1,0.52837638,13.997294902801514,1,26,50,0.52837638
2,3,300,300,2,2,0.1,0.51329817,33.15231776237488,1,35,68,0.51329817
2,4,300,300,2,2,0.1,0.5374619,8.224380016326904,1,19,36,0.5374619
2,5,300,300,2,2,0.1,0.52017085,15.593053817749023,1,26,50,0.52017085
2,6,300,300,2,2,0.1,0.52669782,14.70070505142212,1,25,48,0.52669782
2,7,300,300,2,2,0.1,0.5244974,35.76598572731018,1,36,70,0.5244974
2,8,300,300,2,2,0.1,0.52347949,12.916667461395264,1,25,48,0.52347949
2,9,300,300,2,2,0.1,0.51367924,5.794076919555664,1,18,34,0.51367924
3,0,400,400,2,2,0.1,0.55161834,4.952497243881226,1,13,24,0.55161834
3,1,400,400,2,2,0.1,0.52813027,7.963792324066162,1,17,32,0.52813027
3,2,400,400,2,2,0.1,0.5182781,20.65380620956421,1,23,44,0.5182781
3,3,400,400,2,2,0.1,0.50663071,31.51418709754944,1,32,62,0.50663071
3,4,400,400,2,2,0.1,0.56487171,4.230616807937622,1,14,26,0.56487171
3,5,400,400,2,2,0.1,0.55370021,2.8258585929870605,1,9,16,0.55370021
3,6,400,400,2,2,0.1,0.53978749,7.4520697593688965,1,14,26,0.53978749
3,7,400,400,2,2,0.1,0.5433495,7.272747993469238,1,16,30,0.5433495
3,8,400,400,2,2,0.1,0.51931921,31.549763202667236,1,29,56,0.51931921
3,9,400,400,2,2,0.1,0.5194164,11.62782621383667,1,20,38,0.5194164
4,0,500,500,2,2,0.1,0.52300863,127.50576519966125,1,46,90,0.52300863
4,1,500,500,2,2,0.1,0.53786181,8.515904188156128,1,16,30,0.53786181
4,2,500,500,2,2,0.1,0.54953765,12.793518781661987,1,15,28,0.54953765
4,3,500,500,2,2,0.1,0.51834514,41.01148223876953,1,29,56,0.51834514
4,4,500,500,2,2,0.1,0.53362676,19.585063695907593,1,22,42,0.53362676
4,5,500,500,2,2,0.1,0.54753164,3.545511245727539,1,10,18,0.54753164
4,6,500,500,2,2,0.1,0.52097439,31.320308923721313,1,26,50,0.52097439
4,7,500,500,2,2,0.1,0.51474291,92.486581325531,1,39,76,0.51474291
4,8,500,500,2,2,0.1,0.51843727,22.294474601745605,1,21,40,0.51843727
4,9,500,500,2,2,0.1,0.53001143,46.41150259971619,1,31,60,0.53001143
5,0,600,600,2,2,0.1,0.52596792,13.911022424697876,1,15,28,0.52596792
5,1,600,600,2,2,0.1,0.52294096,12.923544883728027,1,15,28,0.52294096
5,2,600,600,2,2,0.1,0.50661953,353.511577129364,1,62,122,0.50661953
5,3,600,600,2,2,0.1,0.51041541,83.94782161712646,1,34,66,0.51041541
5,4,600,600,2,2,0.1,0.52011642,40.25208806991577,1,21,40,0.52011642
5,5,600,600,2,2,0.1,0.52440401,101.91504621505737,1,31,60,0.52440401
5,6,600,600,2,2,0.1,0.52514438,28.839940547943115,1,22,42,0.52514438
5,7,600,600,2,2,0.1,0.53808264,73.17087650299072,1,25,48,0.53808264
5,8,600,600,2,2,0.1,0.53293483,41.33918285369873,1,25,48,0.53293483
5,9,600,600,2,2,0.1,0.51397233,69.57619905471802,1,32,62,0.51397233
6,0,700,700,2,2,0.1,0.51145105,111.44963788986206,1,32,62,0.51145105
6,1,700,700,2,2,0.1,0.51710517,85.86657643318176,1,25,48,0.51710517
6,2,700,700,2,2,0.1,0.5334908,38.150755882263184,1,22,42,0.5334908
6,3,700,700,2,2,0.1,0.50791352,218.19728755950928,1,40,78,0.50791352
6,4,700,700,2,2,0.1,0.53674368,35.02308201789856,1,21,40,0.53674368
6,5,700,700,2,2,0.1,0.51322633,973.147492647171,1,72,142,0.51322633
6,6,700,700,2,2,0.1,0.52761676,84.93164396286011,1,27,52,0.52761676
6,7,700,700,2,2,0.1,0.53514381,31.478813409805298,1,19,36,0.53514381
6,8,700,700,2,2,0.1,0.53092702,15.362825870513916,1,15,28,0.53092702
6,9,700,700,2,2,0.1,0.53205081,15.715622663497925,1,16,30,0.53205081
7,0,800,800,2,2,0.1,0.51972084,106.62389302253723,1,25,48,0.51972084
7,1,800,800,2,2,0.1,0.51390988,232.4200403690338,1,38,74,0.51390988
7,2,800,800,2,2,0.1,0.525373,173.2742214202881,1,30,58,0.525373
7,3,800,800,2,2,0.1,0.51217395,348.58393812179565,1,44,86,0.51217395
7,4,800,800,2,2,0.1,0.51266805,91.03560256958008,1,25,48,0.51266805
7,5,800,800,2,2,0.1,0.52047648,141.7375328540802,1,31,60,0.52047648
7,6,800,800,2,2,0.1,0.52586645,105.27774977684021,1,25,48,0.52586645
7,7,800,800,2,2,0.1,0.52271242,141.45482063293457,1,28,54,0.52271242
7,8,800,800,2,2,0.1,0.51139882,250.29799962043762,1,39,76,0.51139882
7,9,800,800,2,2,0.1,0.5180707,183.02395868301392,1,32,62,0.5180707
8,0,900,900,2,2,0.1,0.53489862,86.22890853881836,1,26,50,0.53489862
8,1,900,900,2,2,0.1,0.52146453,160.1013970375061,1,28,54,0.52146453
8,2,900,900,2,2,0.1,0.50659577,1338.3633904457092,1,71,140,0.50659577
8,3,900,900,2,2,0.1,0.50708056,431.0653598308563,1,48,94,0.50708056
8,4,900,900,2,2,0.1,0.50546139,763.3133893013,1,55,108,0.50546139
8,5,900,900,2,2,0.1,0.52537189,185.01538372039795,1,33,64,0.52537189
8,6,900,900,2,2,0.1,0.50992777,337.07995676994324,1,40,78,0.50992777
8,7,900,900,2,2,0.1,0.51064852,291.36096239089966,1,35,68,0.51064852
8,8,900,900,2,2,0.1,0.51294568,249.4690136909485,1,36,70,0.51294568
8,9,900,900,2,2,0.1,0.53545053,126.43837976455688,1,23,44,0.53545053
9,0,1000,1000,2,2,0.1,0.51969553,185.2470419406891,1,28,54,0.51969553
9,1,1000,1000,2,2,0.1,0.52834132,167.86925196647644,1,28,54,0.52834132
9,2,1000,1000,2,2,0.1,0.51592881,118.78854560852051,1,28,54,0.51592881
9,3,1000,1000,2,2,0.1,0.53795642,132.42374658584595,1,27,52,0.53795642
9,4,1000,1000,2,2,0.1,0.52872331,107.51180219650269,1,24,46,0.52872331
9,5,1000,1000,2,2,0.1,0.51699592,136.1048047542572,1,30,58,0.51699592
9,6,1000,1000,2,2,0.1,0.52036516,273.08857703208923,1,29,56,0.52036516
9,7,1000,1000,2,2,0.1,0.5370267,20.06056809425354,1,12,22,0.5370267
9,8,1000,1000,2,2,0.1,0.52608137,89.13821339607239,1,21,40,0.52608137
9,9,1000,1000,2,2,0.1,0.52092481,161.38966727256775,1,24,46,0.52092481
