I,J,p,r,beta,theta,time_sec
20,20,2,2,0.1,0.553524442,3.1283976554870607
20,20,3,2,0.1,0.6491373209999999,3.7451528549194335
20,20,2,3,0.1,0.461185211,6.954944968223572
40,40,2,2,0.1,0.565984358,5.662059879302978
40,40,3,2,0.1,0.645150741,11.423148202896119
40,40,2,3,0.1,0.456603263,7.219083189964294
60,60,2,2,0.1,0.565038094,4.676641941070557
60,60,3,2,0.1,0.6403360049999999,18.954321527481078
60,60,2,3,0.1,0.433244527,6.186398077011108
80,80,2,2,0.1,0.5570644969999999,9.096828365325928
80,80,3,2,0.1,0.64833968,11.41710958480835
80,80,2,3,0.1,0.465021082,7.811568403244019
100,100,2,2,0.1,0.555722803,6.30321843624115
100,100,3,2,0.1,0.632202637,24.079738450050353
100,100,2,3,0.1,0.447831942,10.3097234249115
