I,J,p,r,beta,instance_id,run,x,theta,obj,status,iterations,cuts,cuts_log,selected_sites,time_sec
10,10,2,2,0.1,1,0,[0. 0. 1. 0. 0. 1. 0. 0. 0. 0.],0.58133313,0.58133313,1,8,14,"[('bulge', 0.34077719310877785), ('submod', 0.34077719310877785), ('bulge', 0.5813331315049879), ('submod', 0.5813331315049879), ('bulge', 0.4979153885681522), ('submod', 0.4979153885681522), ('bulge', 0.5045392141706915), ('submod', 0.5045392141706915), ('bulge', 0.5020846114318478), ('submod', 0.5020846114318478), ('bulge', 0.4954607858293086), ('submod', 0.4954607858293086), ('bulge', 0.4186668684950123), ('submod', 0.4186668684950123)]","[2, 5]",0.4510691165924072
10,10,2,2,0.1,1,1,[0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],0.54948913,0.54948913,1,9,16,"[('bulge', 0.3933107431821039), ('submod', 0.3933107431821039), ('bulge', 0.5276166552917746), ('submod', 0.5276166552917746), ('bulge', 0.47126882980920565), ('submod', 0.47126882980920565), ('bulge', 0.5494891333313129), ('submod', 0.5494891333313129), ('bulge', 0.46585631213061085), ('submod', 0.46585631213061085), ('bulge', 0.5178796092780635), ('submod', 0.5178796092780635), ('bulge', 0.47238334470822535), ('submod', 0.47238334470822535), ('bulge', 0.5394326637410063), ('submod', 0.5394326637410063)]","[4, 6]",0.6285278797149658
10,10,2,2,0.1,1,2,[1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],0.55954604,0.55954604,1,9,16,"[('bulge', 0.5193589778271309), ('submod', 0.5193589778271309), ('bulge', 0.5505583823690853), ('submod', 0.5505583823690853), ('bulge', 0.5536422818547749), ('submod', 0.5536422818547749), ('bulge', 0.5555438505956588), ('submod', 0.5555438505956588), ('bulge', 0.40797314349301006), ('submod', 0.40797314349301006), ('bulge', 0.43798461113964016), ('submod', 0.43798461113964016), ('bulge', 0.5595460369403754), ('submod', 0.5595460369403754), ('bulge', 0.4869724494236218), ('submod', 0.4869724494236218)]","[0, 7]",0.6663401126861572
10,10,2,2,0.1,1,3,[0. 0. 1. 0. 0. 0. 0. 0. 1. 0.],0.56283951,0.56283951,1,9,16,"[('bulge', 0.44526873667997136), ('submod', 0.44526873667997136), ('bulge', 0.5449987490305263), ('submod', 0.5449987490305263), ('bulge', 0.5460520701064995), ('submod', 0.5460520701064995), ('bulge', 0.4836888074479163), ('submod', 0.4836888074479163), ('bulge', 0.5163111925520837), ('submod', 0.5163111925520837), ('bulge', 0.4539479298935005), ('submod', 0.4539479298935005), ('bulge', 0.562839509012603), ('submod', 0.562839509012603), ('bulge', 0.4810041456348618), ('submod', 0.4810041456348618)]","[2, 8]",0.6508429050445557
10,10,2,2,0.1,1,4,[0. 0. 0. 0. 0. 0. 0. 1. 0. 1.],0.6064951,0.6064951,1,7,12,"[('bulge', 0.38108124555886147), ('submod', 0.38108124555886147), ('bulge', 0.6064951006308883), ('submod', 0.6064951006308883), ('bulge', 0.5803258167228386), ('submod', 0.5803258167228386), ('bulge', 0.5500004247766347), ('submod', 0.5500004247766347), ('bulge', 0.41967418327716144), ('submod', 0.41967418327716144), ('bulge', 0.4499995752233654), ('submod', 0.4499995752233654)]","[7, 9]",0.40702128410339355
10,10,2,2,0.1,1,5,[1. 0. 0. 0. 0. 0. 0. 0. 1. 0.],0.60562569,0.60562569,1,6,10,"[('bulge', 0.4718054550509796), ('submod', 0.4718054550509796), ('bulge', 0.5304244579876661), ('submod', 0.5304244579876661), ('bulge', 0.6056256920203407), ('submod', 0.6056256920203407), ('bulge', 0.5276397954828514), ('submod', 0.5276397954828514), ('bulge', 0.47896747844575355), ('submod', 0.47896747844575355)]","[0, 8]",0.34987568855285645
10,10,2,2,0.1,1,6,[0. 0. 1. 0. 0. 1. 0. 0. 0. 0.],0.62178504,0.62178504,1,7,12,"[('bulge', 0.37780020491897726), ('submod', 0.37780020491897726), ('bulge', 0.621785042664621), ('submod', 0.621785042664621), ('bulge', 0.5132538997726543), ('submod', 0.5132538997726543), ('bulge', 0.5010080360765732), ('submod', 0.5010080360765732), ('bulge', 0.4989919639234269), ('submod', 0.4989919639234269), ('bulge', 0.4867461002273458), ('submod', 0.4867461002273458)]","[2, 5]",0.34116435050964355
10,10,2,2,0.1,1,7,[0. 1. 0. 0. 0. 0. 0. 0. 1. 0.],0.54687797,0.54687797,1,9,16,"[('bulge', 0.5074894677829457), ('submod', 0.5074894677829457), ('bulge', 0.4851278862236056), ('submod', 0.4851278862236056), ('bulge', 0.49795171615470324), ('submod', 0.49795171615470324), ('bulge', 0.5468779697909211), ('submod', 0.5468779697909211), ('bulge', 0.45312203020907893), ('submod', 0.45312203020907893), ('bulge', 0.5020482838452968), ('submod', 0.5020482838452968), ('bulge', 0.5148721137763945), ('submod', 0.5148721137763945), ('bulge', 0.49275169911535666), ('submod', 0.49275169911535666)]","[1, 8]",0.5989828109741211
10,10,2,2,0.1,1,8,[1. 0. 0. 1. 0. 0. 0. 0. 0. 0.],0.57581946,0.57581946,1,7,12,"[('bulge', 0.4685461167980685), ('submod', 0.4685461167980685), ('bulge', 0.5202348175239533), ('submod', 0.5202348175239533), ('bulge', 0.5758194631469397), ('submod', 0.5758194631469397), ('bulge', 0.5156611758210262), ('submod', 0.5156611758210262), ('bulge', 0.42418053685306034), ('submod', 0.42418053685306034), ('bulge', 0.4843388241789739), ('submod', 0.4843388241789739)]","[0, 3]",0.39873313903808594
10,10,2,2,0.1,1,9,[0. 1. 0. 0. 0. 1. 0. 0. 0. 0.],0.6043959,0.6043959,1,6,10,"[('bulge', 0.43134026145998744), ('submod', 0.43134026145998744), ('bulge', 0.5686597385400126), ('submod', 0.5686597385400126), ('bulge', 0.6043959004904289), ('submod', 0.6043959004904289), ('bulge', 0.5154079312316697), ('submod', 0.5154079312316697), ('bulge', 0.43346004717021525), ('submod', 0.43346004717021525)]","[1, 5]",0.2778360843658447
