line,col,pos,before10,next_char
98,16,1898,t{preamble,'t'
154,189,4577,使い果たすはずである,'\n'
177,63,6367,on}_{t+1} ,'\n'
179,152,6536,}_{t+1}$はi,'i'
179,154,6538,{t+1}$はi.i,'d'
201,105,7523,y}\right] ,'\n'
208,67,7990,t]<\infty ,'\n'
215,16,8353,   \text{s,'t'
215,18,8355, \text{s.t,'}'
216,76,8461,ht]<\infty,'\n'
226,65,8939,obustness},'こ'
251,14,9646,d{pmatrix},'\n'
258,16,9952,   \text{s,'t'
258,18,9954, \text{s.t,'}'
258,50,9986,_t+ B u_t ,'\n'
271,9,10953,\\n\text {s,'t'
271,11,10955,\text {s.t,'}'
271,29,10973,&=A y+B u ,'\n'
281,64,11825,行列になる必要がある,'\n'
291,198,12891,使い果たすはずである,'\n'
320,63,15450,on}_{t+1} ,'\n'
322,152,15619,}_{t+1}$はi,'i'
322,154,15621,{t+1}$はi.i,'d'
327,66,16132,ht]<\infty,'\n'
335,16,16385,   \text{s,'t'
335,18,16387, \text{s.t,'}'
337,76,16575,ht]<\infty,'\n'
344,87,17030,1}\right) ,'\n'
346,19,17069,n_{t+1}$はi,'i'
346,21,17071,{t+1}$はi.i,'d'
377,5,18645,lign}\nと書ける,'\n'
415,42,19602,していることがわかる,'\n'
460,79,20478,くと次のように書ける,'\n'
473,22,20897,xt{\emph{s,'t'
473,24,20899,{\emph{s.t,'}'
481,80,21245,ht]<\infty,'\n'
489,91,21407,数問題を以下で与える,'\n'
495,16,21790,   \text{s,'t'
495,18,21792, \text{s.t,'}'
497,76,22001,ht]<\infty,'\n'
518,66,22705,obustness},'こ'
543,204,24004,$として分析を進める,'以'
543,318,24118,る解析には不適である,'}'
564,92,25075,y}\right] ,'\n'
578,14,25284,d{pmatrix},'\n'
585,16,25604,   \text{s,'t'
585,18,25606, \text{s.t,'}'
585,80,25668,\hat{u}_t ,'\n'
625,27,26793,ではないことがわかる,'し'
625,151,26917, 解析は不適切である,'\n'
628,69,27204,題として再定式化する,'こ'
663,47,28042,たすことが確認できる,'よ'
667,16,28294,   \text{s,'t'
667,18,28296, \text{s.t,'}'
667,48,28326,y_t+B u_t ,'\n'
682,9,29171,\\n\text {s,'t'
682,11,29173,\text {s.t,'}'
682,29,29191,&=A y+B u ,'\n'
703,13,30209,mu_d$ & 13,'0'
704,12,30226,\rho$  & 0,'0'
705,13,30245,gamma$& 13,'0'
706,12,30263,c_d$   & 1,'0'
715,2,30404,ray}{cc}\n0,'0'
716,4,30415,05&0\\\n1&1,'0'
721,6,30484,{cc}\n0 & 0,'2'
724,8,30515,y}\n\right],'\n'
730,21,30627,\theta)=(0,'9'
730,36,30642,"infty),~(0",'9'
730,53,30659,"infty),~(0",'9'
730,64,30670,"95,10),~(0",'9'
730,99,30705,タ$\mu_d=13,'0'
730,109,30715,".0, \rho=0",'0'
730,123,30729, \gamma=15,'0'
730,132,30738,"5.0, c_d=1",'0'
730,151,30757,算機実験の結果を示す,'誤'
730,309,30915,ref{beta=0,'9'
730,329,30935,infty}に$(0,'9'
730,361,30967,ref{beta=0,'9'
730,383,30989,infty}に$(0,'9'
730,417,31023,ref{beta=0,'9'
730,434,31040,ta=10}に$(0,'9'
730,456,31062,ref{beta=0,'9'
730,475,31081,ta=10}に$(0,'9'
732,13,31129,ref{beta=0,'9'
732,69,31185,\theta)=(0,'9'
732,96,31212,ref{beta=0,'9'
732,196,31312,時の消費の平均は10,'8'
732,207,31323,"84, 標準偏差は0",'7'
734,3,31386,y}{ccc}\n-2,'6'
734,15,31398,8241495& 0,'0'
734,27,31410,5249346& 0,'0'
736,33,31466,\theta)=(0,'9'
736,62,31495,ref{beta=0,'9'
736,134,31567,おける消費の平均は9,'5'
736,144,31577,".51, 標準偏差1",'2'
736,200,31633,\theta)=(0,'9'
736,223,31656,ref{beta=0,'9'
736,274,31707,ける消費の平均は14,'4'
736,285,31718,"46, 標準偏差は0",'7'
736,393,31826,\theta)=(0,'9'
736,418,31851,ref{beta=0,'9'
738,3,31965,y}{ccc}\n-2,'6'
738,15,31977,8241484& 0,'0'
738,27,31989,5249345& 0,'0'
746,28,32121,page}[t]{0,'4'
748,57,32207,/095_infty,'p'
749,26,32238,n{$\beta=0,'9'
750,22,32279,bel{beta=0,'9'
752,28,32346,page}[t]{0,'4'
754,58,32433,0944_infty,'p'
755,26,32464,n{$\beta=0,'9'
756,22,32507,bel{beta=0,'9'
759,28,32581,page}[t]{0,'4'
761,54,32664,fig/095_10,'p'
762,26,32695,n{$\beta=0,'9'
763,22,32732,bel{beta=0,'9'
765,28,32796,page}[t]{0,'4'
767,55,32880,ig/0944_10,'p'
768,26,32911,n{$\beta=0,'9'
769,22,32950,bel{beta=0,'9'
919,72,38445,", \dots, n",'\n'
949,28,39253,ad \text{s,'t'
949,30,39255, \text{s.t,'}'
971,90,39890, \approx 0,'6'
1032,13,42368,  &\text{s,'t'
1032,15,42370,&\text{s.t,'}'
1042,13,42772,  &\text{s,'t'
1042,15,42774,&\text{s.t,'}'
1044,56,42942,ll j \in J,'\n'
1051,371,43479,hen $P=NP$,'\n'
1097,14,44843,ad \text{s,'t'
1097,16,44845, \text{s.t,'}'
1097,44,44873,\mathbf{0},'\n'
1114,68,45436,まうという課題がある,'\n'
1118,70,45529,=p^{2}+q+1,'\n'
1159,73,47279,y) \quad s,'t'
1159,109,47315,{eq:ex-RO},'\n'
1189,13,48203,uad\text{s,'t'
1189,15,48205,d\text{s.t,'}'
1217,63,49148,thcal{Y}}),'\n'
1256,31,50387,x)+B_i(y)},'\n'
1259,32,50424,$x$ に関する凹性,'}'
1269,32,50726,$y$ に関する凸性,'}'
1313,42,51867,"y,\lambda)",'\n'
1341,14,52564,では違反が抑制される,'\n'
1353,124,53013,が弱まる可能性がある,'\n'
1368,17,53597,\mathbf{1},'\n'
1389,7,54118,gr)\n\Bigr),'\n'
1499,64,57355,-13980HX 5,'6'
1500,164,57818,ambda} = 0,'0'
1500,182,57836,変異圧は$\mu=0,'0'
1511,73,59357,手法はそれに比べ約1,'7'
1511,80,59364,べ約1.7倍から33,'1'
1511,155,59439,文献手法と比べて約2,'6'
1511,161,59445,べて約2.6倍から9,'2'
1514,10,59507,\n文献手法では $0,'0'
1514,19,59516,0.008$--$0,'0'
1514,43,59540, 提案手法では $0,'0'
1514,52,59549,0.000$--$0,'0'
1528,36,60316,きさは最大でも $0,'0'
1531,56,60409,にはギャップが $0,'0'
1537,22,60557,bfigure}{0,'4'
1539,75,60661,3259_eta_0,'0'
1539,83,60669,_0.01_mu_0,'0'
1543,22,60804,bfigure}{0,'4'
1545,75,60908,3259_eta_0,'0'
1545,83,60916,_0.01_mu_0,'0'
1553,22,61084,bfigure}{0,'4'
1555,75,61188,3259_eta_0,'0'
1555,83,61196,_0.01_mu_0,'0'
1559,22,61331,bfigure}{0,'4'
1561,75,61435,3259_eta_0,'0'
1561,83,61443,_0.01_mu_0,'0'
1567,24,61588,bfigure}{0,'4'
1569,75,61692,3259_eta_0,'0'
1569,83,61700,_0.01_mu_0,'0'
1573,22,61834,bfigure}{0,'4'
1575,75,61938,3259_eta_0,'0'
1575,83,61946,_0.01_mu_0,'0'
1615,32,62397,stretch}{0,'9'
1628,37,62749,stretch}{0,'9'
1637,17,63010,20-20   &0,'5'
1637,24,63017, &0.502& 0,'5'
1637,32,63025, 0.525 & 0,'0'
1637,40,63033, 0.023 & 3,'0'
1637,50,63043,.08    & 0,'5'
1637,58,63051, 0.503 & 0,'0'
1637,67,63060,0.001 & 89,'9'
1638,17,63083,40-40   &0,'5'
1638,24,63090, &0.503& 0,'5'
1638,32,63098, 0.537 & 0,'0'
1638,41,63107,0.034 & 10,'1'
1638,50,63116,0.17   & 0,'5'
1638,58,63124, 0.503 & 0,'0'
1638,67,63133,0.000 & 92,'6'
1639,17,63156,60-60   &0,'5'
1639,24,63163, &0.502& 0,'5'
1639,32,63171, 0.537 & 0,'0'
1639,41,63180,0.035 & 20,'7'
1639,50,63189,0.78   & 0,'5'
1639,58,63197, 0.501 & 0,'0'
1639,67,63206,0.001 & 95,'5'
1640,17,63229,80-80   &0,'5'
1640,24,63236, &0.502& 0,'5'
1640,32,63244, 0.528 & 0,'0'
1640,41,63253,0.026 & 72,'0'
1640,50,63262,2.04   & 0,'5'
1640,58,63270, 0.501 & 0,'0'
1640,67,63279,0.001 & 95,'1'
1641,17,63302,100-100 &0,'5'
1641,24,63309, &0.501& 0,'5'
1641,32,63317, 0.527 & 0,'0'
1641,41,63326,0.026 & 70,'6'
1641,50,63335,0.68   & 0,'5'
1641,58,63343, 0.501 & 0,'0'
1641,67,63352,0.000 & 98,'0'
1642,17,63375,200-200 &0,'5'
1642,24,63382, &0.502& 0,'5'
1642,32,63390, 0.525 & 0,'0'
1642,42,63400,.023 & 773,'8'
1642,50,63408,73.88  & 0,'5'
1642,58,63416, 0.500 & 0,'0'
1642,68,63426,.002 & 230,'5'
1643,17,63449,300-300 &0,'5'
1643,24,63456, &0.503& 0,'5'
1643,32,63464, 0.520 & 0,'0'
1643,43,63475,017 & 2372,'2'
1643,50,63482,372.23 & 0,'5'
1643,58,63490, 0.500 & 0,'0'
1643,68,63500,.003 & 257,'9'
1654,37,63731,stretch}{0,'9'
1663,17,63992,20-20   &0,'6'
1663,24,63999, &0.606& 0,'6'
1663,32,64007, 0.629 & 0,'0'
1663,40,64015, 0.023 & 8,'2'
1663,50,64025,.20    & 0,'6'
1663,58,64033, 0.602 & 0,'0'
1663,67,64042,0.004 & 94,'8'
1664,17,64065,40-40   &0,'6'
1664,24,64072, &0.604& 0,'6'
1664,32,64080, 0.627 & 0,'0'
1664,41,64089,0.023 & 57,'8'
1664,50,64098,7.88   & 0,'6'
1664,58,64106, 0.602 & 0,'0'
1664,67,64115,0.002 & 96,'4'
1665,17,64138,60-60   &0,'6'
1665,24,64145, &0.604& 0,'6'
1665,32,64153, 0.620 & 0,'0'
1665,42,64163,.016 & 182,'3'
1665,50,64171,82.34  & 0,'6'
1665,58,64179, 0.601 & 0,'0'
1665,67,64188,0.003 & 96,'7'
1666,17,64211,80-80   &0,'6'
1666,24,64218, &0.601& 0,'6'
1666,32,64226, 0.617 & 0,'0'
1666,42,64236,.016 & 280,'2'
1666,50,64244,80.21  & 0,'6'
1666,58,64252, 0.600 & 0,'0'
1666,67,64261,0.001 & 97,'8'
1667,17,64284,100-100 &0,'6'
1667,24,64291, &0.603& 0,'6'
1667,32,64299, 0.616 & 0,'0'
1667,42,64309,.013 & 561,'3'
1667,50,64317,61.31  & 0,'6'
1667,58,64325, 0.600 & 0,'0'
1667,67,64334,0.003 & 99,'3'
1668,17,64357,200-200 &0,'6'
1668,24,64364, &0.606& 0,'6'
1668,32,64372, 0.614 & 0,'0'
1668,43,64383,008 & 1091,'7'
1668,50,64390,091.72 & 0,'6'
1668,58,64398, 0.600 & 0,'0'
1668,68,64408,.006 & 230,'1'
1669,17,64431,300-300 &0,'6'
1669,24,64438, &0.602& 0,'6'
1669,32,64446, 0.613 & 0,'0'
1669,43,64457,011 & 1974,'6'
1669,50,64464,974.69 & 0,'6'
1669,58,64472, 0.600 & 0,'0'
1669,68,64482,.002 & 254,'0'
1680,37,64696,stretch}{0,'9'
1689,17,64957,20-20   &0,'4'
1689,24,64964, &0.409& 0,'4'
1689,32,64972, 0.447 & 0,'0'
1689,40,64980, 0.038 & 2,'8'
1689,49,64989,2.86   & 0,'4'
1689,57,64997, 0.404 & 0,'0'
1689,66,65006,0.005 & 94,'5'
1690,17,65029,40-40   &0,'4'
1690,24,65036, &0.405& 0,'4'
1690,32,65044, 0.442 & 0,'0'
1690,40,65052, 0.037 & 6,'6'
1690,49,65061,6.69   & 0,'4'
1690,57,65069, 0.402 & 0,'0'
1690,66,65078,0.003 & 95,'6'
1691,17,65101,60-60   &0,'4'
1691,24,65108, &0.403& 0,'4'
1691,32,65116, 0.436 & 0,'0'
1691,41,65125,0.033 & 28,'2'
1691,49,65133,28.28  & 0,'4'
1691,57,65141, 0.401 & 0,'0'
1691,66,65150,0.002 & 96,'1'
1692,17,65173,80-80   &0,'4'
1692,24,65180, &0.401& 0,'4'
1692,32,65188, 0.441 & 0,'0'
1692,41,65197,0.040 & 38,'6'
1692,49,65205,38.64  & 0,'4'
1692,57,65213, 0.401 & 0,'0'
1692,66,65222,0.000 & 96,'3'
1693,17,65245,100-100 &0,'4'
1693,24,65252, &0.402& 0,'4'
1693,32,65260, 0.428 & 0,'0'
1693,42,65270,.026 & 234,'8'
1693,49,65277,234.84 & 0,'4'
1693,57,65285, 0.401 & 0,'0'
1693,66,65294,0.001 & 97,'0'
1694,17,65317,200-200 &0,'4'
1694,24,65324, &0.409& 0,'4'
1694,32,65332, 0.428 & 0,'0'
1694,42,65342,.019 & 588,'7'
1694,49,65349,588.72 & 0,'4'
